ts,level,generation_tokens_total,decode_tokens_delta,decode_tok_s
2026-06-12T21:08:40+05:30,1,1615.0,181.0,181.0
2026-06-12T21:08:41+05:30,1,1795.0,180.0,179.997
2026-06-12T21:08:42+05:30,1,1976.0,181.0,181.0
2026-06-12T21:08:43+05:30,1,2163.0,187.0,186.993
2026-06-12T21:08:44+05:30,1,2346.0,183.0,183.012
2026-06-12T21:08:45+05:30,1,2527.0,181.0,180.685
2026-06-12T21:08:46+05:30,1,2714.0,187.0,187.238
2026-06-12T21:08:47+05:30,1,2899.0,185.0,185.083
2026-06-12T21:08:48+05:30,1,3079.0,180.0,180.001
2026-06-12T21:08:49+05:30,1,3265.0,186.0,185.992
2026-06-12T21:08:50+05:30,1,3441.0,176.0,176.009
2026-06-12T21:08:51+05:30,1,3626.0,185.0,184.995
2026-06-12T21:08:52+05:30,1,3813.0,187.0,187.002
2026-06-12T21:08:53+05:30,1,3991.0,178.0,177.999
2026-06-12T21:08:54+05:30,1,4177.0,186.0,185.996
2026-06-12T21:08:55+05:30,1,4360.0,183.0,182.998
2026-06-12T21:08:56+05:30,1,4539.0,179.0,179.012
2026-06-12T21:08:57+05:30,1,4725.0,186.0,185.95
2026-06-12T21:08:58+05:30,1,4905.0,180.0,180.047
2026-06-12T21:08:59+05:30,1,5082.0,177.0,176.999
2026-06-12T21:09:00+05:30,1,5268.0,186.0,185.999
2026-06-12T21:09:01+05:30,1,5447.0,179.0,178.998
2026-06-12T21:09:02+05:30,1,5633.0,186.0,185.889
2026-06-12T21:09:03+05:30,1,5818.0,185.0,185.11
2026-06-12T21:09:04+05:30,1,5996.0,178.0,178.004
2026-06-12T21:09:05+05:30,1,6182.0,186.0,185.995
2026-06-12T21:09:06+05:30,1,6362.0,180.0,180.003
2026-06-12T21:09:07+05:30,1,6549.0,187.0,186.997
2026-06-12T21:09:08+05:30,1,6734.0,185.0,184.998
2026-06-12T21:09:09+05:30,1,6914.0,180.0,179.998
2026-06-12T21:09:10+05:30,1,7100.0,186.0,185.998
2026-06-12T21:09:11+05:30,1,7284.0,184.0,184.005
2026-06-12T21:09:12+05:30,1,7467.0,183.0,181.431
2026-06-12T21:09:13+05:30,1,7650.0,183.0,184.601
2026-06-12T21:09:14+05:30,1,7830.0,180.0,179.992
2026-06-12T21:09:15+05:30,1,8011.0,181.0,181.004
2026-06-12T21:09:16+05:30,1,8193.0,182.0,181.998
2026-06-12T21:09:17+05:30,1,8372.0,179.0,178.99
2026-06-12T21:09:18+05:30,1,8558.0,186.0,185.951
2026-06-12T21:09:19+05:30,1,8741.0,183.0,183.064
2026-06-12T21:09:20+05:30,1,8921.0,180.0,179.993
2026-06-12T21:09:21+05:30,1,9097.0,176.0,175.996
2026-06-12T21:09:22+05:30,1,9267.0,170.0,170.002
2026-06-12T21:09:23+05:30,1,9432.0,165.0,165.001
2026-06-12T21:09:24+05:30,1,9601.0,169.0,169.001
2026-06-12T21:09:25+05:30,1,9767.0,166.0,165.992
2026-06-12T21:09:26+05:30,1,9953.0,186.0,186.01
2026-06-12T21:09:27+05:30,1,10131.0,178.0,178.002
2026-06-12T21:09:28+05:30,1,10303.0,172.0,171.996
2026-06-12T21:09:29+05:30,1,10489.0,186.0,186.003
2026-06-12T21:09:30+05:30,1,10671.0,182.0,181.998
2026-06-12T21:09:31+05:30,1,10851.0,180.0,180.002
2026-06-12T21:09:32+05:30,1,11036.0,185.0,185.001
2026-06-12T21:09:33+05:30,1,11218.0,182.0,181.998
2026-06-12T21:09:34+05:30,1,11396.0,178.0,177.999
2026-06-12T21:09:35+05:30,1,11573.0,177.0,177.006
2026-06-12T21:09:36+05:30,1,11748.0,175.0,174.995
2026-06-12T21:09:37+05:30,1,11925.0,177.0,176.996
2026-06-12T21:09:38+05:30,1,12111.0,186.0,185.996
2026-06-12T21:09:39+05:30,1,12290.0,179.0,179.004
2026-06-12T21:09:40+05:30,1,12471.0,181.0,180.999
2026-06-12T21:09:41+05:30,1,12647.0,176.0,176.009
2026-06-12T21:09:42+05:30,1,12791.0,144.0,143.988
2026-06-12T21:09:43+05:30,1,12915.0,124.0,124.005
2026-06-12T21:09:44+05:30,1,13100.0,185.0,185.013
2026-06-12T21:09:45+05:30,1,13279.0,179.0,178.983
2026-06-12T21:09:46+05:30,1,13462.0,183.0,183.001
2026-06-12T21:09:47+05:30,1,13623.0,161.0,161.012
2026-06-12T21:10:07+05:30,2,16612.0,292.0,292.166
2026-06-12T21:10:08+05:30,2,16927.0,315.0,314.755
2026-06-12T21:10:09+05:30,2,17229.0,302.0,302.223
2026-06-12T21:10:10+05:30,2,17519.0,290.0,289.825
2026-06-12T21:10:11+05:30,2,17818.0,299.0,299.154
2026-06-12T21:10:12+05:30,2,18130.0,312.0,312.033
2026-06-12T21:10:13+05:30,2,18408.0,278.0,277.816
2026-06-12T21:10:14+05:30,2,18705.0,297.0,297.206
2026-06-12T21:10:15+05:30,2,19003.0,298.0,297.976
2026-06-12T21:10:16+05:30,2,19305.0,302.0,302.027
2026-06-12T21:10:17+05:30,2,19602.0,297.0,297.001
2026-06-12T21:10:18+05:30,2,19909.0,307.0,306.979
2026-06-12T21:10:19+05:30,2,20211.0,302.0,302.005
2026-06-12T21:10:20+05:30,2,20513.0,302.0,301.99
2026-06-12T21:10:21+05:30,2,20817.0,304.0,304.01
2026-06-12T21:10:22+05:30,2,21125.0,308.0,308.013
2026-06-12T21:10:23+05:30,2,21424.0,299.0,298.982
2026-06-12T21:10:24+05:30,2,21727.0,303.0,303.011
2026-06-12T21:10:25+05:30,2,22031.0,304.0,303.992
2026-06-12T21:10:26+05:30,2,22323.0,292.0,291.699
2026-06-12T21:10:27+05:30,2,22624.0,301.0,301.311
2026-06-12T21:10:28+05:30,2,22930.0,306.0,306.004
2026-06-12T21:10:29+05:30,2,23226.0,296.0,295.991
2026-06-12T21:10:30+05:30,2,23520.0,294.0,294.01
2026-06-12T21:10:31+05:30,2,23826.0,306.0,306.004
2026-06-12T21:10:32+05:30,2,24122.0,296.0,295.991
2026-06-12T21:10:33+05:30,2,24432.0,310.0,310.021
2026-06-12T21:10:34+05:30,2,24736.0,304.0,304.001
2026-06-12T21:10:35+05:30,2,25036.0,300.0,299.982
2026-06-12T21:10:36+05:30,2,25340.0,304.0,304.001
2026-06-12T21:10:37+05:30,2,25628.0,288.0,287.81
2026-06-12T21:10:38+05:30,2,25918.0,290.0,290.187
2026-06-12T21:10:39+05:30,2,26220.0,302.0,302.003
2026-06-12T21:10:40+05:30,2,26508.0,288.0,288.004
2026-06-12T21:10:41+05:30,2,26806.0,298.0,298.003
2026-06-12T21:10:42+05:30,2,27099.0,293.0,292.503
2026-06-12T21:10:43+05:30,2,27411.0,312.0,312.523
2026-06-12T21:10:44+05:30,2,27708.0,297.0,297.008
2026-06-12T21:10:45+05:30,2,28016.0,308.0,307.992
2026-06-12T21:10:46+05:30,2,28318.0,302.0,302.004
2026-06-12T21:10:47+05:30,2,28594.0,276.0,276.002
2026-06-12T21:10:48+05:30,2,28888.0,294.0,293.995
2026-06-12T21:10:49+05:30,2,29151.0,263.0,262.994
2026-06-12T21:10:50+05:30,2,29461.0,310.0,310.015
2026-06-12T21:10:51+05:30,2,29745.0,284.0,284.007
2026-06-12T21:10:52+05:30,2,30039.0,294.0,293.982
2026-06-12T21:10:53+05:30,2,30344.0,305.0,305.005
2026-06-12T21:10:54+05:30,2,30646.0,302.0,301.996
2026-06-12T21:10:55+05:30,2,30948.0,302.0,302.009
2026-06-12T21:10:56+05:30,2,31246.0,298.0,297.999
2026-06-12T21:10:57+05:30,2,31553.0,307.0,307.014
2026-06-12T21:10:58+05:30,2,31857.0,304.0,303.875
2026-06-12T21:10:59+05:30,2,32146.0,289.0,289.105
2026-06-12T21:11:00+05:30,2,32449.0,303.0,303.006
2026-06-12T21:11:01+05:30,2,32761.0,312.0,311.987
2026-06-12T21:11:02+05:30,2,33055.0,294.0,294.001
2026-06-12T21:11:03+05:30,2,33334.0,279.0,279.009
2026-06-12T21:11:04+05:30,2,33644.0,310.0,310.001
2026-06-12T21:11:05+05:30,2,33946.0,302.0,301.983
2026-06-12T21:11:06+05:30,2,34243.0,297.0,296.996
2026-06-12T21:11:07+05:30,2,34550.0,307.0,307.027
2026-06-12T21:11:08+05:30,2,34856.0,306.0,306.003
2026-06-12T21:11:09+05:30,2,35146.0,290.0,289.99
2026-06-12T21:11:10+05:30,2,35452.0,306.0,306.004
2026-06-12T21:11:11+05:30,2,35758.0,306.0,306.001
2026-06-12T21:11:12+05:30,2,36054.0,296.0,296.003
2026-06-12T21:11:13+05:30,2,36215.0,161.0,160.953
2026-06-12T21:11:33+05:30,4,41133.0,516.0,515.983
2026-06-12T21:11:34+05:30,4,41610.0,477.0,476.984
2026-06-12T21:11:35+05:30,4,42101.0,491.0,491.028
2026-06-12T21:11:36+05:30,4,42576.0,475.0,474.99
2026-06-12T21:11:37+05:30,4,43080.0,504.0,503.993
2026-06-12T21:11:38+05:30,4,43564.0,484.0,484.004
2026-06-12T21:11:39+05:30,4,44031.0,467.0,466.984
2026-06-12T21:11:40+05:30,4,44524.0,493.0,493.027
2026-06-12T21:11:41+05:30,4,45016.0,492.0,491.992
2026-06-12T21:11:42+05:30,4,45492.0,476.0,475.992
2026-06-12T21:11:43+05:30,4,45949.0,457.0,457.017
2026-06-12T21:11:44+05:30,4,46427.0,478.0,477.998
2026-06-12T21:11:45+05:30,4,46915.0,488.0,487.991
2026-06-12T21:11:46+05:30,4,47387.0,472.0,471.998
2026-06-12T21:11:47+05:30,4,47864.0,477.0,475.601
2026-06-12T21:11:48+05:30,4,48365.0,501.0,502.469
2026-06-12T21:11:49+05:30,4,48853.0,488.0,487.997
2026-06-12T21:11:50+05:30,4,49330.0,477.0,477.022
2026-06-12T21:11:51+05:30,4,49803.0,473.0,472.978
2026-06-12T21:11:52+05:30,4,50292.0,489.0,489.023
2026-06-12T21:11:53+05:30,4,50789.0,497.0,497.004
2026-06-12T21:11:54+05:30,4,51270.0,481.0,480.988
2026-06-12T21:11:55+05:30,4,51738.0,468.0,468.001
2026-06-12T21:11:56+05:30,4,52206.0,468.0,468.01
2026-06-12T21:11:57+05:30,4,52703.0,497.0,496.986
2026-06-12T21:11:58+05:30,4,53196.0,493.0,493.001
2026-06-12T21:11:59+05:30,4,53680.0,484.0,484.014
2026-06-12T21:12:00+05:30,4,54153.0,473.0,472.986
2026-06-12T21:12:01+05:30,4,54641.0,488.0,488.009
2026-06-12T21:12:02+05:30,4,55134.0,493.0,492.983
2026-06-12T21:12:03+05:30,4,55627.0,493.0,493.007
2026-06-12T21:12:04+05:30,4,56115.0,488.0,488.007
2026-06-12T21:12:05+05:30,4,56597.0,482.0,481.99
2026-06-12T21:12:06+05:30,4,57077.0,480.0,479.992
2026-06-12T21:12:07+05:30,4,57566.0,489.0,489.011
2026-06-12T21:12:08+05:30,4,58054.0,488.0,488.02
2026-06-12T21:12:09+05:30,4,58533.0,479.0,478.992
2026-06-12T21:12:10+05:30,4,59037.0,504.0,503.98
2026-06-12T21:12:11+05:30,4,59513.0,476.0,476.014
2026-06-12T21:12:12+05:30,4,59997.0,484.0,483.981
2026-06-12T21:12:13+05:30,4,60476.0,479.0,479.037
2026-06-12T21:12:14+05:30,4,60966.0,490.0,489.998
2026-06-12T21:12:15+05:30,4,61455.0,489.0,488.994
2026-06-12T21:12:16+05:30,4,61933.0,478.0,477.985
2026-06-12T21:12:17+05:30,4,62415.0,482.0,482.009
2026-06-12T21:12:18+05:30,4,62911.0,496.0,495.983
2026-06-12T21:12:19+05:30,4,63384.0,473.0,473.008
2026-06-12T21:12:20+05:30,4,63866.0,482.0,481.981
2026-06-12T21:12:21+05:30,4,64366.0,500.0,500.024
2026-06-12T21:12:22+05:30,4,64847.0,481.0,481.022
2026-06-12T21:12:23+05:30,4,65317.0,470.0,469.977
2026-06-12T21:12:24+05:30,4,65798.0,481.0,481.007
2026-06-12T21:12:25+05:30,4,66271.0,473.0,472.993
2026-06-12T21:12:26+05:30,4,66771.0,500.0,499.989
2026-06-12T21:12:27+05:30,4,67255.0,484.0,484.034
2026-06-12T21:12:28+05:30,4,67729.0,474.0,473.979
2026-06-12T21:12:29+05:30,4,68218.0,489.0,488.991
2026-06-12T21:12:30+05:30,4,68711.0,493.0,492.997
2026-06-12T21:12:31+05:30,4,69211.0,500.0,499.999
2026-06-12T21:12:32+05:30,4,69681.0,470.0,470.011
2026-06-12T21:12:33+05:30,4,70174.0,493.0,492.993
2026-06-12T21:12:34+05:30,4,70663.0,489.0,488.996
2026-06-12T21:12:35+05:30,4,71152.0,489.0,489.002
2026-06-12T21:12:36+05:30,4,71639.0,487.0,487.007
2026-06-12T21:12:37+05:30,4,72124.0,485.0,484.976
2026-06-12T21:12:38+05:30,4,72612.0,488.0,488.026
2026-06-12T21:12:39+05:30,4,73058.0,446.0,446.001
2026-06-12T21:12:40+05:30,4,73424.0,366.0,366.013
2026-06-12T21:12:41+05:30,4,73646.0,222.0,221.993
2026-06-12T21:13:01+05:30,8,81219.0,603.0,602.996
2026-06-12T21:13:02+05:30,8,81951.0,732.0,731.994
2026-06-12T21:13:03+05:30,8,82767.0,816.0,816.031
2026-06-12T21:13:04+05:30,8,83551.0,784.0,783.994
2026-06-12T21:13:05+05:30,8,84303.0,752.0,751.969
2026-06-12T21:13:06+05:30,8,85036.0,733.0,733.028
2026-06-12T21:13:07+05:30,8,85776.0,740.0,739.991
2026-06-12T21:13:08+05:30,8,86592.0,816.0,815.98
2026-06-12T21:13:09+05:30,8,87352.0,760.0,760.007
2026-06-12T21:13:10+05:30,8,88094.0,742.0,741.994
2026-06-12T21:13:11+05:30,8,88783.0,689.0,688.979
2026-06-12T21:13:12+05:30,8,89544.0,761.0,760.993
2026-06-12T21:13:13+05:30,8,90344.0,800.0,800.048
2026-06-12T21:13:14+05:30,8,91112.0,768.0,767.97
2026-06-12T21:13:15+05:30,8,91829.0,717.0,717.016
2026-06-12T21:13:16+05:30,8,92534.0,705.0,704.554
2026-06-12T21:13:17+05:30,8,93296.0,762.0,762.511
2026-06-12T21:13:18+05:30,8,94104.0,808.0,807.965
2026-06-12T21:13:19+05:30,8,94856.0,752.0,752.014
2026-06-12T21:13:20+05:30,8,95598.0,742.0,741.986
2026-06-12T21:13:21+05:30,8,96295.0,697.0,697.023
2026-06-12T21:13:22+05:30,8,97064.0,769.0,768.92
2026-06-12T21:13:23+05:30,8,97864.0,800.0,800.061
2026-06-12T21:13:24+05:30,8,98648.0,784.0,783.976
2026-06-12T21:13:25+05:30,8,99381.0,733.0,733.038
2026-06-12T21:13:26+05:30,8,100086.0,705.0,704.957
2026-06-12T21:13:27+05:30,8,100856.0,770.0,770.045
2026-06-12T21:13:28+05:30,8,101656.0,800.0,799.954
2026-06-12T21:13:29+05:30,8,102416.0,760.0,760.054
2026-06-12T21:13:30+05:30,8,103149.0,733.0,732.778
2026-06-12T21:13:31+05:30,8,103860.0,711.0,711.169
2026-06-12T21:13:32+05:30,8,104593.0,733.0,733.033
2026-06-12T21:13:33+05:30,8,105401.0,808.0,808.003
2026-06-12T21:13:34+05:30,8,106193.0,792.0,791.988
2026-06-12T21:13:35+05:30,8,106926.0,733.0,733.004
2026-06-12T21:13:36+05:30,8,107643.0,717.0,716.941
2026-06-12T21:13:37+05:30,8,108393.0,750.0,750.061
2026-06-12T21:13:38+05:30,8,109193.0,800.0,800.036
2026-06-12T21:13:39+05:30,8,109975.0,782.0,781.971
2026-06-12T21:13:40+05:30,8,110702.0,727.0,726.977
2026-06-12T21:13:41+05:30,8,111419.0,717.0,717.001
2026-06-12T21:13:42+05:30,8,112142.0,723.0,723.003
2026-06-12T21:13:43+05:30,8,112934.0,792.0,792.022
2026-06-12T21:13:44+05:30,8,113707.0,773.0,772.974
2026-06-12T21:13:45+05:30,8,114451.0,744.0,744.023
2026-06-12T21:13:46+05:30,8,115170.0,719.0,719.006
2026-06-12T21:13:47+05:30,8,115913.0,743.0,743.001
2026-06-12T21:13:48+05:30,8,116686.0,773.0,772.981
2026-06-12T21:13:49+05:30,8,117443.0,757.0,757.015
2026-06-12T21:13:50+05:30,8,118203.0,760.0,759.985
2026-06-12T21:13:51+05:30,8,118933.0,730.0,730.019
2026-06-12T21:13:52+05:30,8,119649.0,716.0,715.966
2026-06-12T21:13:53+05:30,8,120414.0,765.0,765.049
2026-06-12T21:13:54+05:30,8,121198.0,784.0,783.97
2026-06-12T21:13:55+05:30,8,121928.0,730.0,729.814
2026-06-12T21:13:56+05:30,8,122677.0,749.0,749.187
2026-06-12T21:13:57+05:30,8,123396.0,719.0,718.971
2026-06-12T21:13:58+05:30,8,124134.0,738.0,738.044
2026-06-12T21:13:59+05:30,8,124899.0,765.0,764.97
2026-06-12T21:14:00+05:30,8,125672.0,773.0,773.027
2026-06-12T21:14:01+05:30,8,126421.0,749.0,749.03
2026-06-12T21:14:02+05:30,8,127151.0,730.0,729.956
2026-06-12T21:14:03+05:30,8,127897.0,746.0,746.007
2026-06-12T21:14:04+05:30,8,128635.0,738.0,738.01
2026-06-12T21:14:05+05:30,8,129373.0,738.0,737.999
2026-06-12T21:14:06+05:30,8,130136.0,763.0,762.976
2026-06-12T21:14:07+05:30,8,130731.0,595.0,595.028
2026-06-12T21:14:08+05:30,8,131229.0,498.0,497.975
2026-06-12T21:14:09+05:30,8,131619.0,390.0,390.009
2026-06-12T21:14:10+05:30,8,131642.0,23.0,23.0
2026-06-12T21:14:30+05:30,10,139308.0,720.0,719.996
2026-06-12T21:14:31+05:30,10,140018.0,710.0,710.005
2026-06-12T21:14:32+05:30,10,140748.0,730.0,729.991
2026-06-12T21:14:33+05:30,10,141429.0,681.0,681.015
2026-06-12T21:14:34+05:30,10,142079.0,650.0,649.972
2026-06-12T21:14:35+05:30,10,142799.0,720.0,720.016
2026-06-12T21:14:36+05:30,10,143519.0,720.0,720.004
2026-06-12T21:14:37+05:30,10,144229.0,710.0,710.0
2026-06-12T21:14:38+05:30,10,144939.0,710.0,709.972
2026-06-12T21:14:39+05:30,10,145646.0,707.0,706.996
2026-06-12T21:14:40+05:30,10,146303.0,657.0,657.016
2026-06-12T21:14:41+05:30,10,146985.0,682.0,682.03
